"","X","Year","Ceremony","Category","Nominee","Additional.Info","Won.Academy.Award","Film","Artist","Film.ID"
"3192",3192,1986,"1986 (59th)","Sound Editing","Aliens","Don Sharpe","YES","Aliens","Don Sharpe","Aliens (1986)"
"3195",3195,1986,"1986 (59th)","Visual Effects","Aliens","Robert Skotak, Stan Winston, John Richardson, Suzanne Benson","YES","Aliens","Robert Skotak, Stan Winston, John Richardson, Suzanne Benson","Aliens (1986)"
"3201",3201,1986,"1986 (59th)","Writing","A Room with a View","Ruth Prawer Jhabvala","YES","A Room with a View","Ruth Prawer Jhabvala","A Room with a View (1986)"
"3204",3204,1986,"1986 (59th)","Writing","Hannah and Her Sisters","Woody Allen","YES","Hannah and Her Sisters","Woody Allen","Hannah and Her Sisters (1986)"
"3208",3208,1986,"1986 (59th)","Honorary Award","To Ralph Bellamy for his unique artistry and his distinguished service to the profession of acting.","","YES",NA,NA,NA
"3209",3209,1986,"1986 (59th)","Irving G. Thalberg Memorial Award","Steven Spielberg","","YES",NA,NA,NA
"3210",3210,1986,"1986 (59th)","Scientific and Technical (Scientific and Engineering Award)","To BRAN FERREN, CHARLES HARRISON and KENNETH WISNER of Associates and Ferren for the concept and design of an advanced optical printer. [Special Photographic]","","YES",NA,NA,NA
"3211",3211,1986,"1986 (59th)","Scientific and Technical (Scientific and Engineering Award)","To RICHARD BENJAMIN GRANT and RON GRANT of Auricle Control Systems for their invention of the Film Composer's Time Processor. [Editorial]","","YES",NA,NA,NA
"3212",3212,1986,"1986 (59th)","Scientific and Technical (Scientific and Engineering Award)","To ANTHONY D. BRUNO and JOHN L. BAPTISTA of Metro-Goldwyn-Mayer Laboratories Incorporated and to MANFRED G. MICHELSON and BRUCE W. KELLER of Technical Film Systems, Incorporated, for the design and engineering of a Continuous-Feed Printer. [Laboratory]","","YES",NA,NA,NA
"3213",3213,1986,"1986 (59th)","Scientific and Technical (Scientific and Engineering Award)","To ROBERT GREENBERG, JOEL HYNEK and EUGENE MAMUT of R/Greenberg Associates, Incorporated, and to DR. ALFRED THUMIM, ELAN LIPSCHITZ and DARRYL A. ARMOUR of the Oxberry Division of Richmark Camera Service, Incorporated, for the design and development of the RGA/Oxberry Compu-Quad Special Effects Optical Printer. [Special Photographic]","","YES",NA,NA,NA
"3214",3214,1986,"1986 (59th)","Scientific and Technical (Scientific and Engineering Award)","To PROFESSOR FRITZ SENNHEISER of Sennheiser Electronic Corporation for the invention of an interference tube directional microphone. [Sound]","","YES",NA,NA,NA
"3215",3215,1986,"1986 (59th)","Scientific and Technical (Scientific and Engineering Award)","To RICHARD EDLUND, GENE WHITEMAN, DAVID GRAFTON, MARK WEST, JERRY JEFFRESS and BOB WILCOX of Boss Film Corporation for the design and development of a Zoom Aerial (ZAP) 65mm Optical Printer. [Special Photographic]","","YES",NA,NA,NA
"3216",3216,1986,"1986 (59th)","Scientific and Technical (Scientific and Engineering Award)","To WILLIAM L. FREDRICK and HAL NEEDHAM for the design and development of the Shotmaker Elite camera car and crane. [Camera Cranes]","","YES",NA,NA,NA
"3217",3217,1986,"1986 (59th)","Scientific and Technical (Technical Achievement Award)","To LEE ELECTRIC (LIGHTING) LIMITED for the design and development of an electronic, flicker-free, discharge lamp control system. [Lighting]","","YES",NA,NA,NA
"3218",3218,1986,"1986 (59th)","Scientific and Technical (Technical Achievement Award)","To PETER D. PARKS of Oxford Scientific Films' Image Quest Division for the development of a live aero-compositor for special effects photography. [Special Photographic]","","YES",NA,NA,NA
"3219",3219,1986,"1986 (59th)","Scientific and Technical (Technical Achievement Award)","To MATT SWEENEY and LUCINDA STRUB for the development of an automatic capsule gun for simulating bullet hits for motion picture special effects. [Stage Operations]","","YES",NA,NA,NA
"3220",3220,1986,"1986 (59th)","Scientific and Technical (Technical Achievement Award)","To CARL HOLMES of Carl E. Holmes Company and to ALEXANDER BRYCE of The Burbank Studios for the development of a mobile DC power supply unit for motion picture production photography. [Lighting]","","YES",NA,NA,NA
"3221",3221,1986,"1986 (59th)","Scientific and Technical (Technical Achievement Award)","To BRAN FERREN of Associates and Ferren for the development of a laser synchro-cue system for applications in the motion picture industry. [Special Photographic]","","YES",NA,NA,NA
"3222",3222,1986,"1986 (59th)","Scientific and Technical (Technical Achievement Award)","To JOHN L. BAPTISTA of Metro-Goldwyn-Mayer Laboratories, Inc. for the development and installation of a computerized silver recovery operation. [Laboratory]","","YES",NA,NA,NA
"3223",3223,1986,"1986 (59th)","Scientific and Technical (Technical Achievement Award)","To DAVID W. SAMUELSON for the development of programs incorporated into a pocket computer for motion picture cinematographers, and to WILLIAM B. POLLARD for contributing new algorithms on which the programs are based. [Photography]","","YES",NA,NA,NA
"3224",3224,1986,"1986 (59th)","Scientific and Technical (Technical Achievement Award)","To HAL LANDAKER and ALAN LANDAKER of The Burbank Studios for the development of the Beat System low-frequency cue track for motion picture production sound recording. [Sound]","","YES",NA,NA,NA
"3225",3225,1986,"1986 (59th)","Scientific and Technical (Bonner Medal)","To E. M. (Al) Lewis in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.","","YES",NA,NA,NA
"3228",3228,1985,"1985 (58th)","Actor -- Leading Role","William Hurt","Kiss of the Spider Woman {'Luis Molina'}","YES","Kiss of the Spider Woman","William Hurt","Kiss of the Spider Woman (1985)"
"3231",3231,1985,"1985 (58th)","Actor -- Supporting Role","Don Ameche","Cocoon {'Art Selwyn'}","YES","Cocoon","Don Ameche","Cocoon (1985)"
"3239",3239,1985,"1985 (58th)","Actress -- Leading Role","Geraldine Page","The Trip to Bountiful {'Mrs. Watts'}","YES","The Trip to Bountiful","Geraldine Page","The Trip to Bountiful (1985)"
"3242",3242,1985,"1985 (58th)","Actress -- Supporting Role","Anjelica Huston","Prizzi's Honor {'Maerose Prizzi'}","YES","Prizzi's Honor","Anjelica Huston","Prizzi's Honor (1985)"
"3248",3248,1985,"1985 (58th)","Art Direction","Out of Africa","Art Direction: Stephen Grimes; Set Decoration: Josie MacAvin","YES","Out of Africa","Art Direction: Stephen Grimes; Set Decoration: Josie MacAvin","Out of Africa (1985)"
"3253",3253,1985,"1985 (58th)","Cinematography","Out of Africa","David Watkin","YES","Out of Africa","David Watkin","Out of Africa (1985)"
"3260",3260,1985,"1985 (58th)","Costume Design","Ran","Emi Wada","YES","Ran","Emi Wada","Ran (1985)"
"3262",3262,1985,"1985 (58th)","Directing","Out of Africa","Sydney Pollack","YES","Out of Africa","Sydney Pollack","Out of Africa (1985)"
"3266",3266,1985,"1985 (58th)","Documentary (Feature)","Broken Rainbow","Maria Florio and Victoria Mudd, Producers","YES","Broken Rainbow","Maria Florio and Victoria Mudd, Producers","Broken Rainbow (1985)"
"3274",3274,1985,"1985 (58th)","Documentary (Short Subject)","Witness to War: Dr. Charlie Clements","David Goodman, Producer","YES","Witness to War: Dr. Charlie Clements","David Goodman, Producer","Witness to War: Dr. Charlie Clements (1985)"
"3280",3280,1985,"1985 (58th)","Film Editing","Witness","Thom Noble","YES","Witness","Thom Noble","Witness (1985)"
"3283",3283,1985,"1985 (58th)","Foreign Language Film","The Official Story","Argentina","YES","The Official Story","Argentina","The Official Story (1985)"
"3287",3287,1985,"1985 (58th)","Makeup","Mask","Michael Westmore, Zoltan Elek","YES","Mask","Michael Westmore, Zoltan Elek","Mask (1985)"
"3291",3291,1985,"1985 (58th)","Music (Scoring)","Out of Africa","John Barry","YES","Out of Africa","John Barry","Out of Africa (1985)"
"3296",3296,1985,"1985 (58th)","Music (Song)","White Nights","Music and Lyric by Lionel Richie","YES","White Nights","Music and Lyric by Lionel Richie","White Nights (1985)"
"3301",3301,1985,"1985 (58th)","Best Picture","Out of Africa","Sydney Pollack, Producer","YES","Out of Africa","Sydney Pollack, Producer","Out of Africa (1985)"
"3304",3304,1985,"1985 (58th)","Short Film (Animated)","Anna & Bella","Cilia Van Dijk, Producer","YES","Anna & Bella","Cilia Van Dijk, Producer","Anna & Bella (1985)"
"3308",3308,1985,"1985 (58th)","Short Film (Live Action)","Molly's Pilgrim","Jeff Brown and Chris Pelzer, Producers","YES","Molly's Pilgrim","Jeff Brown and Chris Pelzer, Producers","Molly's Pilgrim (1985)"
"3313",3313,1985,"1985 (58th)","Sound","Out of Africa","Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford","YES","Out of Africa","Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford","Out of Africa (1985)"
"3315",3315,1985,"1985 (58th)","Sound Editing","Back to the Future","Charles L. Campbell, Robert Rutledge","YES","Back to the Future","Charles L. Campbell, Robert Rutledge","Back to the Future (1985)"
"3318",3318,1985,"1985 (58th)","Visual Effects","Cocoon","Ken Ralston, Ralph McQuarrie, Scott Farrar, David Berry","YES","Cocoon","Ken Ralston, Ralph McQuarrie, Scott Farrar, David Berry","Cocoon (1985)"
"3323",3323,1985,"1985 (58th)","Writing","Out of Africa","Kurt Luedtke","YES","Out of Africa","Kurt Luedtke","Out of Africa (1985)"
"3330",3330,1985,"1985 (58th)","Writing","Witness","Screenplay by Earl W. Wallace, William Kelley; Story by William Kelley, Pamela Wallace, Earl W. Wallace","YES","Witness","Screenplay by Earl W. Wallace, William Kelley; Story by William Kelley, Pamela Wallace, Earl W. Wallace","Witness (1985)"
"3331",3331,1985,"1985 (58th)","Honorary Award","To Paul Newman, in recognition of his many and memorable compelling screen performances and for his personal integrity and dedication to his craft.","","YES",NA,NA,NA
"3332",3332,1985,"1985 (58th)","Honorary Award","To Alex North, in recognition of his brilliant artistry in the creation of memorable music for a host of distinguished motion pictures.","","YES",NA,NA,NA
"3333",3333,1985,"1985 (58th)","Jean Hersholt Humanitarian Award","Charles 'Buddy' Rogers","","YES",NA,NA,NA
"3334",3334,1985,"1985 (58th)","Scientific and Technical (Scientific and Engineering Award)","To IMAX SYSTEMS CORPORATION for a method of filming and exhibiting high-fidelity, large-format, wide angle motion pictures. [Systems]","","YES",NA,NA,NA
"3335",3335,1985,"1985 (58th)","Scientific and Technical (Scientific and Engineering Award)","To ERNST NETTMANN of E.F. Nettmann & Associates for the invention, and to EDWARD PHILLIPS and CARLOS DEMATTOS of Matthews Studio Equipment, Inc. for the development, of the Cam-Remote for motion picture photography. [Camera]","","YES",NA,NA,NA
"3336",3336,1985,"1985 (58th)","Scientific and Technical (Scientific and Engineering Award)","To MYRON GORDIN, JOE P. CROOKHAM, JIM DROST and DAVID CROOKHAM of Musco Mobile Lighting, Ltd., for the invention of a method of transporting adjustable, high-intensity luminaires and their application to the motion picture industry. [Lighting]","","YES",NA,NA,NA
"3337",3337,1985,"1985 (58th)","Scientific and Technical (Technical Achievement Award)","To DAVID W. SPENCER for the development of an Animation Photo Transfer (APT) process. [Cartoon Process]","","YES",NA,NA,NA
"3338",3338,1985,"1985 (58th)","Scientific and Technical (Technical Achievement Award)","To HARRISON & HARRISON, OPTICAL ENGINEERS, for the invention and development of Harrison Diffusion filters for motion picture photography. [Lenses and Filters]","","YES",NA,NA,NA
"3339",3339,1985,"1985 (58th)","Scientific and Technical (Technical Achievement Award)","To LARRY BARTON of Cinematography Electronics, Inc., for a Precision Speed Crystal-Controlled Device for motion picture photography. [Camera]","","YES",NA,NA,NA
"3340",3340,1985,"1985 (58th)","Scientific and Technical (Technical Achievement Award)","To ALAN LANDAKER of The Burbank Studios for the Mark III Camera Drive for motion picture photography. [Camera]","","YES",NA,NA,NA
"3341",3341,1985,"1985 (58th)","Scientific and Technical (Special Awards)","To John H. Whitney, Sr. for Cinematic Pioneering.","","YES",NA,NA,NA
"3342",3342,1984,"1984 (57th)","Actor -- Leading Role","F. Murray Abraham","Amadeus {'Antonio Salieri'}","YES","Amadeus","F. Murray Abraham","Amadeus (1984)"
"3350",3350,1984,"1984 (57th)","Actor -- Supporting Role","Haing S. Ngor","The Killing Fields {'Dith Pran'}","YES","The Killing Fields","Haing S. Ngor","The Killing Fields (1984)"
"3353",3353,1984,"1984 (57th)","Actress -- Leading Role","Sally Field","Places in the Heart {'Edna Spalding'}","YES","Places in the Heart","Sally Field","Places in the Heart (1984)"
"3357",3357,1984,"1984 (57th)","Actress -- Supporting Role","Peggy Ashcroft","A Passage to India {'Mrs. Moore'}","YES","A Passage to India","Peggy Ashcroft","A Passage to India (1984)"
"3362",3362,1984,"1984 (57th)","Art Direction","Amadeus","Art Direction: Patrizia Von Brandenstein; Set Decoration: Karel Cerny","YES","Amadeus","Art Direction: Patrizia Von Brandenstein; Set Decoration: Karel Cerny","Amadeus (1984)"
"3368",3368,1984,"1984 (57th)","Cinematography","The Killing Fields","Chris Menges","YES","The Killing Fields","Chris Menges","The Killing Fields (1984)"
"3372",3372,1984,"1984 (57th)","Costume Design","Amadeus","Theodor Pistek","YES","Amadeus","Theodor Pistek","Amadeus (1984)"
"3377",3377,1984,"1984 (57th)","Directing","Amadeus","Milos Forman","YES","Amadeus","Milos Forman","Amadeus (1984)"
"3386",3386,1984,"1984 (57th)","Documentary (Feature)","The Times of Harvey Milk","Robert Epstein and Richard Schmiechen, Producers","YES","The Times of Harvey Milk","Robert Epstein and Richard Schmiechen, Producers","The Times of Harvey Milk (1984)"
"3391",3391,1984,"1984 (57th)","Documentary (Short Subject)","The Stone Carvers","Marjorie Hunt and Paul Wagner, Producers","YES","The Stone Carvers","Marjorie Hunt and Paul Wagner, Producers","The Stone Carvers (1984)"
"3394",3394,1984,"1984 (57th)","Film Editing","The Killing Fields","Jim Clark","YES","The Killing Fields","Jim Clark","The Killing Fields (1984)"
"3399",3399,1984,"1984 (57th)","Foreign Language Film","Dangerous Moves","Switzerland","YES","Dangerous Moves","Switzerland","Dangerous Moves (1984)"
"3402",3402,1984,"1984 (57th)","Makeup","Amadeus","Paul LeBlanc, Dick Smith","YES","Amadeus","Paul LeBlanc, Dick Smith","Amadeus (1984)"
"3407",3407,1984,"1984 (57th)","Music (Scoring)","A Passage to India","Maurice Jarre","YES","A Passage to India","Maurice Jarre","A Passage to India (1984)"
"3411",3411,1984,"1984 (57th)","Music (Scoring)","Purple Rain","Prince","YES","Purple Rain","Prince","Purple Rain (1984)"
"3416",3416,1984,"1984 (57th)","Music (Song)","The Woman in Red","Music and Lyric by Stevie Wonder","YES","The Woman in Red","Music and Lyric by Stevie Wonder","The Woman in Red (1984)"
"3418",3418,1984,"1984 (57th)","Best Picture","Amadeus","Saul Zaentz, Producer","YES","Amadeus","Saul Zaentz, Producer","Amadeus (1984)"
"3423",3423,1984,"1984 (57th)","Short Film (Animated)","Charade","Jon Minnis, Producer","YES","Charade","Jon Minnis, Producer","Charade (1984)"
"3428",3428,1984,"1984 (57th)","Short Film (Live Action)","Up","Mike Hoover, Producer","YES","Up","Mike Hoover, Producer","Up (1984)"
"3429",3429,1984,"1984 (57th)","Sound","Amadeus","Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman","YES","Amadeus","Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman","Amadeus (1984)"
"3434",3434,1984,"1984 (57th)","Sound Editing","The River","Kay Rose","YES","The River","Kay Rose","The River (1984)"
"3436",3436,1984,"1984 (57th)","Visual Effects","Indiana Jones and the Temple of Doom","Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs","YES","Indiana Jones and the Temple of Doom","Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs","Indiana Jones and the Temple of Doom (1984)"
"3438",3438,1984,"1984 (57th)","Writing","Amadeus","Peter Shaffer","YES","Amadeus","Peter Shaffer","Amadeus (1984)"
"3446",3446,1984,"1984 (57th)","Writing","Places in the Heart","Robert Benton","YES","Places in the Heart","Robert Benton","Places in the Heart (1984)"
"3448",3448,1984,"1984 (57th)","Special Achievement Award","The River","Kay Rose","YES",NA,NA,NA
"3449",3449,1984,"1984 (57th)","Honorary Award","To James Stewart, for his fifty years of memorable performances. For his high ideals both on and off the screen. With the respect and affection of his colleagues.","","YES",NA,NA,NA
"3450",3450,1984,"1984 (57th)","Honorary Award","To the National Endowment for the Arts, in recognition of its 20th anniversary and its dedicated commitment to fostering artistic and creative activity and excellence in every area of the arts.","","YES",NA,NA,NA
"3451",3451,1984,"1984 (57th)","Jean Hersholt Humanitarian Award","David L. Wolper","","YES",NA,NA,NA
"3452",3452,1984,"1984 (57th)","Scientific and Technical (Scientific and Engineering Award)","To DONALD A. ANDERSON and DIANA REINERS of 3M Company for the development of Cinetrak"" Magnetic Film #350/351 for motion picture sound recording. [Sound]""","","YES",NA,NA,NA
"3453",3453,1984,"1984 (57th)","Scientific and Technical (Scientific and Engineering Award)","To BARRY M. STULTZ, RUBEN AVILA and WES KENNEDY of Film Processing Corporation for the development of FPC 200 PB Fullcoat Magnetic Film for motion picture sound recording. [Sound]","","YES",NA,NA,NA
"3454",3454,1984,"1984 (57th)","Scientific and Technical (Scientific and Engineering Award)","To BARRY M. STULTZ, RUBEN AVILA and WES KENNEDY of Film Processing Corporation for the formulation and application of an improved sound track stripe to 70mm motion picture film, and to JOHN MOSELY for the engineering research involved therein. [Sound]","","YES",NA,NA,NA
"3455",3455,1984,"1984 (57th)","Scientific and Technical (Scientific and Engineering Award)","To KENNETH RICHTER of Richter Cine Equipment for the design and engineering of the R-2 Auto-Collimator for examining image quality at the focal plane of motion picture camera lenses. [Lenses and Filters]","","YES",NA,NA,NA
"3456",3456,1984,"1984 (57th)","Scientific and Technical (Scientific and Engineering Award)","To GÜNTHER SCHAIDT and ROSCO LABORATORIES, INCORPORATED, for the development of an improved, non-toxic fluid for creating fog and smoke for motion picture production. [Stage Operations]","","YES",NA,NA,NA
"3457",3457,1984,"1984 (57th)","Scientific and Technical (Scientific and Engineering Award)","To JOHN WHITNEY, JR. and GARY DEMOS of Digital Productions, Incorporated, for the practical simulation of motion picture photography by means of computer-generated images. [Special Photographic]","","YES",NA,NA,NA
"3458",3458,1984,"1984 (57th)","Scientific and Technical (Technical Achievement Award)","To NAT TIFFEN of Tiffen Manufacturing Corporation for the production of high-quality, durable, laminated color filters for motion picture photography. [Lenses and Filters]","","YES",NA,NA,NA
"3460",3460,1984,"1984 (57th)","Scientific and Technical (Technical Achievement Award)","To JONATHAN ERLAND and ROBERT BEALMEAR of Apogee, Incorporated, for an innovative design for front projection screens and an improved method for their construction. [Special Photographic]","","YES",NA,NA,NA
"3461",3461,1984,"1984 (57th)","Scientific and Technical (Technical Achievement Award)","To HOWARD J. PRESTON of Preston Cinema Systems for the design and development of a variable speed control device with automatic exposure compensation for motion picture cameras. [Camera]","","YES",NA,NA,NA
"3462",3462,1984,"1984 (57th)","Scientific and Technical (Gordon E. Sawyer Award)","Linwood G. Dunn","","YES",NA,NA,NA
"3466",3466,1983,"1983 (56th)","Actor -- Leading Role","Robert Duvall","Tender Mercies {'Mac Sledge'}","YES","Tender Mercies","Robert Duvall","Tender Mercies (1983)"
"3470",3470,1983,"1983 (56th)","Actor -- Supporting Role","Jack Nicholson","Terms of Endearment {'Garrett Breedlove'}","YES","Terms of Endearment","Jack Nicholson","Terms of Endearment (1983)"
"3474",3474,1983,"1983 (56th)","Actress -- Leading Role","Shirley MacLaine","Terms of Endearment {'Aurora Greenway'}","YES","Terms of Endearment","Shirley MacLaine","Terms of Endearment (1983)"
"3480",3480,1983,"1983 (56th)","Actress -- Supporting Role","Linda Hunt","The Year of Living Dangerously {'Billy Kwan'}","YES","The Year of Living Dangerously","Linda Hunt","The Year of Living Dangerously (1983)"
"3483",3483,1983,"1983 (56th)","Art Direction","Fanny & Alexander","Anna Asp","YES","Fanny & Alexander","Anna Asp","Fanny & Alexander (1983)"
"3488",3488,1983,"1983 (56th)","Cinematography","Fanny & Alexander","Sven Nykvist","YES","Fanny & Alexander","Sven Nykvist","Fanny & Alexander (1983)"
"3494",3494,1983,"1983 (56th)","Costume Design","Fanny & Alexander","Marik Vos","YES","Fanny & Alexander","Marik Vos","Fanny & Alexander (1983)"
"3502",3502,1983,"1983 (56th)","Directing","Terms of Endearment","James L. Brooks","YES","Terms of Endearment","James L. Brooks","Terms of Endearment (1983)"
"3505",3505,1983,"1983 (56th)","Documentary (Feature)","He Makes Me Feel Like Dancin'","Emile Ardolino, Producer","YES","He Makes Me Feel Like Dancin'","Emile Ardolino, Producer","He Makes Me Feel Like Dancin' (1983)"
"3508",3508,1983,"1983 (56th)","Documentary (Short Subject)","Flamenco at 5:15","Cynthia Scott and Adam Symansky, Producers","YES","Flamenco at 5:15","Cynthia Scott and Adam Symansky, Producers","Flamenco at 5:15 (1983)"
"3515",3515,1983,"1983 (56th)","Film Editing","The Right Stuff","Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf","YES","The Right Stuff","Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf","The Right Stuff (1983)"
"3520",3520,1983,"1983 (56th)","Foreign Language Film","Fanny & Alexander","Sweden","YES","Fanny & Alexander","Sweden","Fanny & Alexander (1983)"
"3525",3525,1983,"1983 (56th)","Music (Scoring)","The Right Stuff","Bill Conti","YES","The Right Stuff","Bill Conti","The Right Stuff (1983)"
"3530",3530,1983,"1983 (56th)","Music (Scoring)","Yentl","Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman","YES","Yentl","Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman","Yentl (1983)"
"3531",3531,1983,"1983 (56th)","Music (Song)","Flashdance","Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara","YES","Flashdance","Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara","Flashdance (1983)"
"3540",3540,1983,"1983 (56th)","Best Picture","Terms of Endearment","James L. Brooks, Producer","YES","Terms of Endearment","James L. Brooks, Producer","Terms of Endearment (1983)"
"3543",3543,1983,"1983 (56th)","Short Film (Animated)","Sundae in New York","Jimmy Picker, Producer","YES","Sundae in New York","Jimmy Picker, Producer","Sundae in New York (1983)"
"3544",3544,1983,"1983 (56th)","Short Film (Live Action)","Boys and Girls","Janice L. Platt, Producer","YES","Boys and Girls","Janice L. Platt, Producer","Boys and Girls (1983)"
"3549",3549,1983,"1983 (56th)","Sound","The Right Stuff","Mark Berger, Tom Scott, Randy Thom, David MacMillan","YES","The Right Stuff","Mark Berger, Tom Scott, Randy Thom, David MacMillan","The Right Stuff (1983)"
"3553",3553,1983,"1983 (56th)","Sound Editing","The Right Stuff","Jay Boekelheide","YES","The Right Stuff","Jay Boekelheide","The Right Stuff (1983)"
"3554",3554,1983,"1983 (56th)","Visual Effects","Return of the Jedi","Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett","YES","Return of the Jedi","Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett","Return of the Jedi (1983)"
"3559",3559,1983,"1983 (56th)","Writing","Terms of Endearment","James L. Brooks","YES","Terms of Endearment","James L. Brooks","Terms of Endearment (1983)"
"3563",3563,1983,"1983 (56th)","Writing","Tender Mercies","Horton Foote","YES","Tender Mercies","Horton Foote","Tender Mercies (1983)"
"3565",3565,1983,"1983 (56th)","Special Achievement Award","Return of the Jedi","Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett","YES",NA,NA,NA
"3566",3566,1983,"1983 (56th)","Honorary Award","To Hal Roach, in recognition of his unparalleled record of distinguished contributions to the motion picture art form.","","YES",NA,NA,NA
"3567",3567,1983,"1983 (56th)","Jean Hersholt Humanitarian Award","M. J. Frankovich","","YES",NA,NA,NA
"3568",3568,1983,"1983 (56th)","Scientific and Technical (Academy Award of Merit)","To DR. KURT LARCHE of OSRAM GmbH for the research and development of xenon short-arc discharge lamps for motion picture projection. [Projection]","","YES",NA,NA,NA
"3569",3569,1983,"1983 (56th)","Scientific and Technical (Scientific and Engineering Award)","To JONATHAN ERLAND and ROGER DORNEY of Apogee, Incorporated, for the engineering and development of a reverse bluescreen traveling matte process for special effects photography. [Special Photographic]","","YES",NA,NA,NA
"3570",3570,1983,"1983 (56th)","Scientific and Technical (Scientific and Engineering Award)","To GERALD L. TURPIN of Lightflex International Limited for the design, engineering and development of an on-camera device providing contrast control, sourceless fill light and special effects for motion picture photography. [Camera]","","YES",NA,NA,NA
"3571",3571,1983,"1983 (56th)","Scientific and Technical (Scientific and Engineering Award)","To GUNNAR P. MICHELSON for the engineering and development of an improved, electronic, high-speed, precision light valve for use in motion picture printing machines. [Laboratory]","","YES",NA,NA,NA
"3572",3572,1983,"1983 (56th)","Scientific and Technical (Technical Achievement Award)","To WILLIAM G. KROKAUGGER of Mole-Richardson Company for the design and engineering of a portable, 12,000 watt, lighting-control dimmer for use in motion picture production. [Lighting]","","YES",NA,NA,NA
"3573",3573,1983,"1983 (56th)","Scientific and Technical (Technical Achievement Award)","To CHARLES J. WATSON, LARRY L. LANGREHR and JOHN H. STEINER for the development of the BHP (electro-mechanical) fader for use on continuous motion picture contact printers. [Laboratory]","","YES",NA,NA,NA
"3574",3574,1983,"1983 (56th)","Scientific and Technical (Technical Achievement Award)","To ELIZABETH D. DE LA MARE of De La Mare Engineering, Incorporated, for the progressive development and continuous research of special effects pyrotechnics originally designed by Glenn W. De La Mare for motion picture production. [Stage Operations]","","YES",NA,NA,NA
"3575",3575,1983,"1983 (56th)","Scientific and Technical (Technical Achievement Award)","To DOUGLAS FRIES, JOHN LACEY and MICHAEL SIGRIST for the design and engineering of a 35mm reflex conversion camera system for special effects photography. [Camera]","","YES",NA,NA,NA
"3576",3576,1983,"1983 (56th)","Scientific and Technical (Technical Achievement Award)","To JACK CASHIN of Ultra-Stereo Labs, Incorporated, for the engineering and development of a 4-channel, stereophonic, decoding system for optical motion picture sound track reproduction. [Sound]","","YES",NA,NA,NA
"3577",3577,1983,"1983 (56th)","Scientific and Technical (Technical Achievement Award)","To DAVID J. DEGENKOLB for the design and development of an automated device used in the silver recovery process in motion picture laboratories. [Laboratory]","","YES",NA,NA,NA
"3578",3578,1983,"1983 (56th)","Scientific and Technical (Gordon E. Sawyer Award)","Dr. John G. Frayne","","YES",NA,NA,NA
"3580",3580,1982,"1982 (55th)","Actor -- Leading Role","Ben Kingsley","Gandhi {'Mahatma Gandhi'}","YES","Gandhi","Ben Kingsley","Gandhi (1982)"
"3585",3585,1982,"1982 (55th)","Actor -- Supporting Role","Louis Gossett, Jr.","An Officer and a Gentleman {'Sgt. Emil Foley'}","YES","An Officer and a Gentleman","Louis Gossett, Jr.","An Officer and a Gentleman (1982)"
"3592",3592,1982,"1982 (55th)","Actress -- Leading Role","Meryl Streep","Sophie's Choice {'Sophie'}","YES","Sophie's Choice","Meryl Streep","Sophie's Choice (1982)"
"3596",3596,1982,"1982 (55th)","Actress -- Supporting Role","Jessica Lange","Tootsie {'Julie Nichols'}","YES","Tootsie","Jessica Lange","Tootsie (1982)"
"3601",3601,1982,"1982 (55th)","Art Direction","Gandhi","Art Direction: Stuart Craig, Bob Laing; Set Decoration: Michael Seirton","YES","Gandhi","Art Direction: Stuart Craig, Bob Laing; Set Decoration: Michael Seirton","Gandhi (1982)"
"3606",3606,1982,"1982 (55th)","Cinematography","Gandhi","Billy Williams, Ronnie Taylor","YES","Gandhi","Billy Williams, Ronnie Taylor","Gandhi (1982)"
"3609",3609,1982,"1982 (55th)","Costume Design","Gandhi","John Mollo, Bhanu Athaiya","YES","Gandhi","John Mollo, Bhanu Athaiya","Gandhi (1982)"
"3616",3616,1982,"1982 (55th)","Directing","Gandhi","Richard Attenborough","YES","Gandhi","Richard Attenborough","Gandhi (1982)"
"3622",3622,1982,"1982 (55th)","Documentary (Feature)","Just Another Missing Kid","John Zaritsky, Producer","YES","Just Another Missing Kid","John Zaritsky, Producer","Just Another Missing Kid (1982)"
"3625",3625,1982,"1982 (55th)","Documentary (Short Subject)","If You Love This Planet","Edward Le Lorrain and Terri Nash, Producers","YES","If You Love This Planet","Edward Le Lorrain and Terri Nash, Producers","If You Love This Planet (1982)"
